crypto,end_date,normalize,normalize_by_row,predictor_cls,predictor_params.daily_allowance,predictor_params.lookahead_days,predictor_params.prob_buy,predictor_params.prob_sell,predictor_params.starting_investment,price_column,save_data,save_roi,start_date,window_size,cv_folds,dev_size,save_results,shuffle_data,training_size,mlp_training,mlp_eval,svc_training,svc_eval
ETH,2019-05-04,True,True,BiffPredictorSmart,5,4,1,1,100,Close,True,False,2017-01-01,10,4,0.5,True,True,0.7,0.545238095238,0.491686460808,0.557142857143,0.484560570071
ETH,2019-05-04,True,True,BiffPredictorSmart,5,4,1,1,100,Close,True,False,2017-01-01,10,4,0.5,True,False,0.7,0.566666666667,0.458432304038,0.566666666667,0.458432304038
ETH,2019-05-04,True,True,BiffPredictorSmart,5,4,1,1,100,Close,True,False,2018-01-01,10,4,0.5,True,True,0.7,0.563025210084,0.53781512605,0.533613445378,0.529411764706
ETH,2019-05-04,True,True,BiffPredictorSmart,5,4,1,1,100,Close,True,False,2018-01-01,10,4,0.5,True,False,0.7,0.550420168067,0.529411764706,0.546218487395,0.529411764706
ETH,2019-05-04,True,False,BiffPredictor,5,4,1,1,100,Close,True,False,2016-01-01,10,4,0.5,True,True,0.7,0.532338308458,0.523178807947,0.530679933665,0.551324503311
ETH,2019-05-04,True,False,BiffPredictor,5,4,1,1,100,Close,True,False,2016-01-01,10,4,0.5,True,False,0.7,0.568822553897,0.516556291391,0.558872305141,0.491721854305
ETH,2019-05-04,True,False,BiffPredictor,5,4,1,1,100,Close,True,False,2017-01-01,10,4,0.5,True,True,0.7,0.564285714286,0.522565320665,0.545238095238,0.517814726841
ETH,2019-05-04,True,False,BiffPredictor,5,4,1,1,100,Close,True,False,2017-01-01,10,4,0.5,True,False,0.7,0.585714285714,0.467933491686,0.57619047619,0.467933491686
ETH,2019-05-04,True,False,BiffPredictor,5,4,1,1,100,Close,True,False,2018-01-01,10,4,0.5,True,True,0.7,0.575630252101,0.516806722689,0.554621848739,0.546218487395
ETH,2019-05-04,True,False,BiffPredictor,5,4,1,1,100,Close,True,False,2018-01-01,10,4,0.5,True,False,0.7,0.600840336134,0.483193277311,0.558823529412,0.516806722689
ETH,2019-05-04,True,False,BiffPredictorSmart,5,4,1,1,100,Close,True,False,2016-01-01,10,4,0.5,True,True,0.7,0.545605306799,0.524834437086,0.532338308458,0.51821192053
ETH,2019-05-04,True,False,BiffPredictorSmart,5,4,1,1,100,Close,True,False,2016-01-01,10,4,0.5,True,False,0.7,0.563847429519,0.496688741722,0.545605306799,0.470198675497
ETH,2019-05-04,True,False,BiffPredictorSmart,5,4,1,1,100,Close,True,False,2017-01-01,10,4,0.5,True,True,0.7,0.619047619048,0.503562945368,0.585714285714,0.515439429929
ETH,2019-05-04,True,False,BiffPredictorSmart,5,4,1,1,100,Close,True,False,2017-01-01,10,4,0.5,True,False,0.7,0.569047619048,0.458432304038,0.569047619048,0.458432304038
ETH,2019-05-04,True,False,BiffPredictorSmart,5,4,1,1,100,Close,True,False,2018-01-01,10,4,0.5,True,True,0.7,0.579831932773,0.525210084034,0.571428571429,0.491596638655
ETH,2019-05-04,True,False,BiffPredictorSmart,5,4,1,1,100,Close,True,False,2018-01-01,10,4,0.5,True,False,0.7,0.579831932773,0.529411764706,0.558823529412,0.529411764706
ETH,2019-05-04,True,True,BiffPredictor,5,1,1,1,100,Close,True,False,2016-01-01,20,4,0.5,True,True,0.7,0.551666666667,0.526666666667,0.561666666667,0.545
ETH,2019-05-04,True,True,BiffPredictor,5,1,1,1,100,Close,True,False,2016-01-01,20,4,0.5,True,False,0.7,0.568333333333,0.548333333333,0.58,0.523333333333
ETH,2019-05-04,True,True,BiffPredictor,5,1,1,1,100,Close,True,False,2017-01-01,20,4,0.5,True,True,0.7,0.544364508393,0.489208633094,0.52278177458,0.529976019185
ETH,2019-05-04,True,True,BiffPredictor,5,1,1,1,100,Close,True,False,2017-01-01,20,4,0.5,True,False,0.7,0.575539568345,0.515587529976,0.580335731415,0.517985611511
ETH,2019-05-04,True,True,BiffPredictor,5,1,1,1,100,Close,True,False,2018-01-01,20,4,0.5,True,True,0.7,0.555555555556,0.523404255319,0.542735042735,0.468085106383
ETH,2019-05-04,True,True,BiffPredictor,5,1,1,1,100,Close,True,False,2018-01-01,20,4,0.5,True,False,0.7,0.564102564103,0.514893617021,0.559829059829,0.514893617021
ETH,2019-05-04,True,True,BiffPredictorSmart,5,1,1,1,100,Close,True,False,2016-01-01,20,4,0.5,True,True,0.7,0.573333333333,0.476666666667,0.565,0.521666666667
ETH,2019-05-04,True,True,BiffPredictorSmart,5,1,1,1,100,Close,True,False,2016-01-01,20,4,0.5,True,False,0.7,0.576666666667,0.523333333333,0.58,0.521666666667
ETH,2019-05-04,True,True,BiffPredictorSmart,5,1,1,1,100,Close,True,False,2017-01-01,20,4,0.5,True,True,0.7,0.534772182254,0.491606714628,0.515587529976,0.486810551559
ETH,2019-05-04,True,True,BiffPredictorSmart,5,1,1,1,100,Close,True,False,2017-01-01,20,4,0.5,True,False,0.7,0.58273381295,0.525179856115,0.580335731415,0.515587529976
ETH,2019-05-04,True,True,BiffPredictorSmart,5,1,1,1,100,Close,True,False,2018-01-01,20,4,0.5,True,True,0.7,0.594017094017,0.510638297872,0.589743589744,0.476595744681
ETH,2019-05-04,True,True,BiffPredictorSmart,5,1,1,1,100,Close,True,False,2018-01-01,20,4,0.5,True,False,0.7,0.568376068376,0.514893617021,0.559829059829,0.514893617021
ETH,2019-05-04,True,False,BiffPredictor,5,1,1,1,100,Close,True,False,2016-01-01,20,4,0.5,True,True,0.7,0.546666666667,0.515,0.511666666667,0.476666666667
ETH,2019-05-04,True,False,BiffPredictor,5,1,1,1,100,Close,True,False,2016-01-01,20,4,0.5,True,False,0.7,0.518333333333,0.503333333333,0.516666666667,0.485
ETH,2019-05-04,True,False,BiffPredictor,5,1,1,1,100,Close,True,False,2017-01-01,20,4,0.5,True,True,0.7,0.561151079137,0.47242206235,0.551558752998,0.482014388489
