crypto,end_date,normalize,normalize_by_row,predictor_cls,predictor_params.daily_allowance,predictor_params.lookahead_days,predictor_params.prob_buy,predictor_params.prob_sell,predictor_params.starting_investment,price_column,standardize,start_date,window_size,cv_folds,dev_size,shuffle_data,training_size,MLPClassifier_training,MLPClassifier_eval,SVC_training,SVC_eval
LTC,2019-09-30,True,True,BiffPredictorSmart,5,4,1,1,100,Close,True,2018-01-01,40,4,0.5,False,0.7,0.602693602694,0.489932885906,0.602693602694,0.489932885906
LTC,2019-09-30,True,False,BiffPredictor,5,4,1,1,100,Close,True,2016-01-01,40,4,0.5,True,0.7,0.565610859729,0.555052790347,0.618401206637,0.662141779789
LTC,2019-09-30,True,False,BiffPredictor,5,4,1,1,100,Close,True,2016-01-01,40,4,0.5,False,0.7,0.546003016591,0.449472096531,0.544494720965,0.449472096531
LTC,2019-09-30,True,False,BiffPredictor,5,4,1,1,100,Close,True,2017-01-01,40,4,0.5,True,0.7,0.641666666667,0.585416666667,0.66875,0.695833333333
LTC,2019-09-30,True,False,BiffPredictor,5,4,1,1,100,Close,True,2017-01-01,40,4,0.5,False,0.7,0.58125,0.441666666667,0.566666666667,0.439583333333
LTC,2019-09-30,True,False,BiffPredictor,5,4,1,1,100,Close,True,2018-01-01,40,4,0.5,True,0.7,0.609427609428,0.570469798658,0.703703703704,0.741610738255
LTC,2019-09-30,True,False,BiffPredictor,5,4,1,1,100,Close,True,2018-01-01,40,4,0.5,False,0.7,0.666666666667,0.493288590604,0.612794612795,0.503355704698
LTC,2019-09-30,True,False,BiffPredictorSmart,5,4,1,1,100,Close,True,2016-01-01,40,4,0.5,True,0.7,0.582202111614,0.550527903469,0.601809954751,0.618401206637
LTC,2019-09-30,True,False,BiffPredictorSmart,5,4,1,1,100,Close,True,2016-01-01,40,4,0.5,False,0.7,0.565610859729,0.458521870287,0.562594268477,0.524886877828
LTC,2019-09-30,True,False,BiffPredictorSmart,5,4,1,1,100,Close,True,2017-01-01,40,4,0.5,True,0.7,0.591666666667,0.466666666667,0.675,0.647916666667
LTC,2019-09-30,True,False,BiffPredictorSmart,5,4,1,1,100,Close,True,2017-01-01,40,4,0.5,False,0.7,0.554166666667,0.472916666667,0.564583333333,0.45
LTC,2019-09-30,True,False,BiffPredictorSmart,5,4,1,1,100,Close,True,2018-01-01,40,4,0.5,True,0.7,0.572390572391,0.546979865772,0.626262626263,0.711409395973
LTC,2019-09-30,True,False,BiffPredictorSmart,5,4,1,1,100,Close,True,2018-01-01,40,4,0.5,False,0.7,0.646464646465,0.493288590604,0.612794612795,0.489932885906
LTC,2019-09-30,True,True,BiffPredictor,5,1,1,1,100,Close,False,2016-01-01,40,4,0.5,True,0.7,0.524096385542,0.505263157895,0.524096385542,0.524812030075
LTC,2019-09-30,True,True,BiffPredictor,5,1,1,1,100,Close,False,2016-01-01,40,4,0.5,False,0.7,0.536144578313,0.544360902256,0.51656626506,0.535338345865
LTC,2019-09-30,True,True,BiffPredictor,5,1,1,1,100,Close,False,2017-01-01,40,4,0.5,True,0.7,0.530145530146,0.464730290456,0.525987525988,0.522821576763
LTC,2019-09-30,True,True,BiffPredictor,5,1,1,1,100,Close,False,2017-01-01,40,4,0.5,False,0.7,0.525987525988,0.452282157676,0.561330561331,0.46887966805
LTC,2019-09-30,True,True,BiffPredictor,5,1,1,1,100,Close,False,2018-01-01,40,4,0.5,True,0.7,0.548494983278,0.505016722408,0.531772575251,0.518394648829
LTC,2019-09-30,True,True,BiffPredictor,5,1,1,1,100,Close,False,2018-01-01,40,4,0.5,False,0.7,0.561872909699,0.498327759197,0.558528428094,0.501672240803
LTC,2019-09-30,True,True,BiffPredictorSmart,5,1,1,1,100,Close,False,2016-01-01,40,4,0.5,True,0.7,0.522590361446,0.541353383459,0.51656626506,0.488721804511
LTC,2019-09-30,True,True,BiffPredictorSmart,5,1,1,1,100,Close,False,2016-01-01,40,4,0.5,False,0.7,0.534638554217,0.523308270677,0.51656626506,0.535338345865
LTC,2019-09-30,True,True,BiffPredictorSmart,5,1,1,1,100,Close,False,2017-01-01,40,4,0.5,True,0.7,0.582120582121,0.48755186722,0.56340956341,0.48132780083
LTC,2019-09-30,True,True,BiffPredictorSmart,5,1,1,1,100,Close,False,2017-01-01,40,4,0.5,False,0.7,0.536382536383,0.464730290456,0.561330561331,0.46887966805
LTC,2019-09-30,True,True,BiffPredictorSmart,5,1,1,1,100,Close,False,2018-01-01,40,4,0.5,True,0.7,0.548494983278,0.545150501672,0.538461538462,0.521739130435
LTC,2019-09-30,True,True,BiffPredictorSmart,5,1,1,1,100,Close,False,2018-01-01,40,4,0.5,False,0.7,0.571906354515,0.52508361204,0.558528428094,0.501672240803
LTC,2019-09-30,True,False,BiffPredictor,5,1,1,1,100,Close,False,2016-01-01,40,4,0.5,True,0.7,0.527108433735,0.529323308271,0.525602409639,0.491729323308
LTC,2019-09-30,True,False,BiffPredictor,5,1,1,1,100,Close,False,2016-01-01,40,4,0.5,False,0.7,0.534638554217,0.442105263158,0.530120481928,0.451127819549
LTC,2019-09-30,True,False,BiffPredictor,5,1,1,1,100,Close,False,2017-01-01,40,4,0.5,True,0.7,0.52182952183,0.522821576763,0.513513513514,0.522821576763
